artist_id;artist_name;track_id
7bu3H8JO7d0UbMoVzbo70s;The Cure;7zHhP0CHO4cONkImJ0Oau6
5rgdw8NVhnxWL8Poo6HsiX;Biga*Ranx;5vQFvDQyvV0twKyPHK0W31
63vMehdxxRWq9HBZHskapk;L'Entourloop;0A729xUCZcmAwIbeP0kzlU
25CgccXK9hJBTuaMF44zeR;SPIRIT OF THE BEEHIVE;0yzIUfPBotXIqzvzoIo2VD
480FcWBc0dlEZc52noh462;Grumpy;4Pu1l1CF4rcN3xIgWbgni6
54N4voTBO17fp6dEegF4qa;Ben Seretan;68k7pVlSZOlT0laynJj6GY
40ZNYROS4zLfyyBSs2PGe2;Zach Bryan;51K4qVFCpF05rJ0OWPiRTr
3eqjTLE0HfPfh78zjh6TqT;Bruce Springsteen;3JzVK0f8gqAAjyEDyXAys4
4I29IR2MABOOQXGDdcYA2q;Another Michael;4mIKtezk2OSXEUbWOV7qAd
3SGLeWc7J5Ve0CinAOrb3a;Skegss;5FtasByO6sDnqnG3mSoVjH
5W10uJRsbt9bROJDKoI1Wn;Moses Sumney;0EQt3hJTjy2dYuxZp3cqo9
4tK6Z8fK7Sc9133byjPGIT;MJ Lenderman;6HsIV3KVhmY20DAyt5u0ug
4mAsHgZzoZvU0eMbHOB60X;Yhapojj;1AjNAPr9M85bhpF4PfCWEK
0WqsT2a4CBuQ0LC7vrJD0H;Nino Paid;1AjNAPr9M85bhpF4PfCWEK
3UkN1XeK2D4wD4uhtJx4vb;SUUNS;4h8VSLg9OM2wzqLSVvYNGy
0CREEnqrPXZUTyHKATsUWE;Myra;3eyGrobMcziIWlHEZwatHd
7EFB09NxZrMi9pGlOnuBpd;The Horrors;34oEV6mTMcWjWecSigl12M
1WVGbBnzZ5WLZ2PfesIHik;Cassandra Jenkins;5MXegzzvDfUSfwpf8a0FCq
69zPIMRgsZieOHFtHtvnj0;Yu Su;4a2hgYLUWVoMDOrh08LQqW
7zNkqI6qRr0OJ4XO1Pw29g;Nourished by Time;2zv7uAjNZyq6kQvNX1M39h
0GmYGGZZIU8vHbI0bAXZun;This Is Lorelei;1gWIrsjqpmN57sMfq5NcuO
63GTn25wbdRNX3ijCHvYxD;Oso Oso;25uqtNMzQigSCpNUvQma9E
4hkOCqpKuf6KFaQeTGfYNw;KOKOKO!;5Vw2uQRRlngBabYFQs7NmG
7KPlumtsoyeN8Qp3EPxv7L;Vitesse X;3fll9dlWXC29WZU5deUIKs
4HrCsxMRWFsSi8Vf0qBjK4;Silverbacks;5HxJ99dWKZdmhgedjBZA5v
0jyH4jtanxaysaxwDVhR6f;Seefeel;5O0NtSxrPa8nNCMrPqyxrQ
6Je4hal6B5wiRd46aeswrs;MoBlack;480j122Gpi252OIfy4SNzm
0VVnWF3KNaa5O7ESohKhAx;Salif Keita;480j122Gpi252OIfy4SNzm
0CX4q2v1TeyeskG7GgAyxI;Benja (NL);480j122Gpi252OIfy4SNzm
0FSasrFTs0AQBrJkcFE6vB;Franc Fala;480j122Gpi252OIfy4SNzm
0Nks3cFWU2a7rooAlFQYgn;Cesária Evora;480j122Gpi252OIfy4SNzm
3MAzDpqE01xyUmzNsc0Ee0;Lee Fields;4hZVOkigyLvFdDT3UnDHTU
5RMLpCv3ic2KtGnqJ7eMG4;I. JORDAN;7EovTzlTgRD6MdprArq80m
6Xo1vXFRCEJPgVqCyHlTPW;Sam Wilkes;1MTMuojYYKH3fISxfboCdK
3tZgzfMnnKEb2WrGNO5tDp;Dylan Day;1MTMuojYYKH3fISxfboCdK
3zj39NVYkiKY8KUx7lFZRL;Thom Gill;1MTMuojYYKH3fISxfboCdK
7th9o3DE5cL9VsgNLgfxsJ;Chris Fishman;1MTMuojYYKH3fISxfboCdK
0XcPeWzqZvamO9avSQiJlA;Craig Weinrib;1MTMuojYYKH3fISxfboCdK
4VcTmgGKGuJn56Ac2zNhiH;The Innocence Mission;2xLcz4DvDu1fkcVMxU95JS
65s98MYZ4xFpgKlUYS5XKw;Remble;4dStHgygFvGVwyFPkJLOZO
2aqNYQZI10b5GBQJBcxGj4;stoneda5th;4dStHgygFvGVwyFPkJLOZO
4AA474G2hRfrHyGrfyDseO;Mozzy;4dStHgygFvGVwyFPkJLOZO
6M2wZ9GZgrQXHCFfjv46we;Dua Lipa;6bAkr9wkQyPM4IDrP4tuwR
4fd3n8zcAmsG2up1QWDNj5;Muzi;3Hv4xBC72YuArfMbfeNmJG
0ukgSx1gUt5rUihbNh46qy;Christopher Owens;6mwcIWE0QocjNQpKp048JB
09yvLritEUxHrzx5TlFvbl;Margo Price;1PcMQHHrQCNgGwEXB4QIQj
1ZN1c1qWEGZNX1pGeKCPpf;Billy Strings;1PcMQHHrQCNgGwEXB4QIQj
2BS3fywRW33o5GygfzZaOZ;Wild Pink;4SJ7yrRxPhwQNgSzgl4xnS
0cmSXx965Hnm6fP42oW6vY;Origami Angel;0k51vsfx9ard3xN3dXyzQI
7LMdXzRix6vqLE1PefCPAg;Sonagi;1sK3DpveEEwxDirQB6gjoB
0HzDn36ZNGZBYOGWp96Eeh;Nuvolascura;1sK3DpveEEwxDirQB6gjoB
0ut7R4fRbYSYkDZuNG22hX;Erica Shultz;1sK3DpveEEwxDirQB6gjoB
3weTDlYKpF9A55JH0XAKkD;HRTLSS;0gnNKgvu9Yob50ywxpNpRb
1fRv9jiRIN7zAOSpOfRP73;GEL;19exW77hmfxwbQ1P96vOSS
6wH6iStAh4KIaWfuhf0NYM;Manu Chao;6GiJACBbYHIOeghfZmbLuI
22p8vOZwMABvl5qt2nZHWD;Vale;5rZ4PCqytdmyY44GmUP04w
3Lk9AWrpD4bminO5LwmBOw;YEИDRY;5rZ4PCqytdmyY44GmUP04w
3rf7cB2o79L2LEcl9HIjAf;Mysie;3NNApqkvBsZSbSEJnzDFtX
0bhck1r45kgsoMNBVqIziz;Carter Ace;3NNApqkvBsZSbSEJnzDFtX
