artist_id;artist_genres;artist_genre_main
0FSasrFTs0AQBrJkcFE6vB;['afro house'];hip_hop_rnb_soul_afro
0Nks3cFWU2a7rooAlFQYgn;['fado'];other
3MAzDpqE01xyUmzNsc0Ee0;['retro soul', 'soul'];hip_hop_rnb_soul_afro
5RMLpCv3ic2KtGnqJ7eMG4;[];other
6Xo1vXFRCEJPgVqCyHlTPW;['nu jazz'];jazz
3tZgzfMnnKEb2WrGNO5tDp;[];other
3zj39NVYkiKY8KUx7lFZRL;[];other
7th9o3DE5cL9VsgNLgfxsJ;[];other
0XcPeWzqZvamO9avSQiJlA;[];other
4VcTmgGKGuJn56Ac2zNhiH;[];other
65s98MYZ4xFpgKlUYS5XKw;[];other
2aqNYQZI10b5GBQJBcxGj4;[];other
4AA474G2hRfrHyGrfyDseO;[];other
6M2wZ9GZgrQXHCFfjv46we;['pop'];pop
4fd3n8zcAmsG2up1QWDNj5;[];other
0ukgSx1gUt5rUihbNh46qy;[];other
09yvLritEUxHrzx5TlFvbl;['americana', 'alt country'];folk_acoustic
1ZN1c1qWEGZNX1pGeKCPpf;['bluegrass', 'newgrass', 'americana'];folk_acoustic
2BS3fywRW33o5GygfzZaOZ;[];other
0cmSXx965Hnm6fP42oW6vY;['midwest emo', 'math rock', 'emo'];rock
7LMdXzRix6vqLE1PefCPAg;['screamo'];rock
0HzDn36ZNGZBYOGWp96Eeh;['screamo', 'emocore', 'post-hardcore', 'midwest emo'];rock
0ut7R4fRbYSYkDZuNG22hX;[];other
3weTDlYKpF9A55JH0XAKkD;[];other
1fRv9jiRIN7zAOSpOfRP73;['hardcore punk', 'hardcore'];rock
6wH6iStAh4KIaWfuhf0NYM;['latin alternative', 'spanish language reggae'];hip_hop_rnb_soul_afro
22p8vOZwMABvl5qt2nZHWD;['latin indie', 'latin folk', 'latin r&b'];hip_hop_rnb_soul_afro
3Lk9AWrpD4bminO5LwmBOw;[];other
3rf7cB2o79L2LEcl9HIjAf;['jersey club', 'alté'];other
0bhck1r45kgsoMNBVqIziz;['indie r&b'];hip_hop_rnb_soul_afro
4oLeXFyACqeem2VImYeBFe;['stutter house', 'house'];electro
3IunaFjvNKj98JW89JYv9u;[];other
6M98IZJK2tx6x2YVyHua9K;[];other
33YsWRCg88zGFdA0xjxeLO;[];other
687cZJR45JO7jhk1LHIbgq;['afrobeats', 'alté', 'afrobeat', 'afropop'];hip_hop_rnb_soul_afro
6VR4TJ20WGiho2xZWMuuWb;[];other
4ZbFpxbORhzU78ve8e62Ej;[];other
1jwOuEBcOKq0BeudSarbEM;[];other
7ljTofQBh5fR5SYfGHRYs8;[];other
7fgs0Ym1ukMZDgKjx8mbMe;[];other
7xTo7ipdBZezIoyAkmcRge;['gothic metal', 'black metal', 'death metal', 'melodic death metal', 'doom metal', 'metal'];metal
27JCep1zDO3K8GY50trDo6;['breakbeat', 'uk garage'];electro
5rv6OYiDFLm0gQ8wbihOib;['french pop', 'french house'];electro
422Vo1v0NaW7ZVU8EwvhKW;['indie'];rock
6v6OE9MQreCmwuAqF0NfzQ;[];other
13GH7wviJQ9gfZmr1pXHS4;['djent', 'progressive metal', 'math rock', 'metalcore'];metal
7AgbNZPRrvTpWjVbbPoUmU;[];other
7d0wUlQ0ZXIGFa0YzuBiR6;['shoegaze', 'dream pop'];rock
3TJZG17pjOKXwx1ELKJPfm;['shoegaze'];rock
6P86FLVAK4sxu8OhyQJBvH;['ambient', 'art pop', 'experimental'];pop
380fnmlGnkyueBMqGWx2k5;[];other
6wmTznuYHk73RoBXkYEBnV;['power pop'];rock
4yRSUmhuSJ3KcIMljdh4fH;['noise rock', 'sludge metal'];metal
3OyC0tKaejLvZHB4s78zED;['shoegaze', 'dream pop', 'slowcore', 'christian alternative rock'];rock
2lciIw4vq0jQqevXA2TEUl;[];other
75JMPNQ1B2A6WZydvs06Ok;['uk garage', 'hard house'];electro
7MxGWmiAbqjNOGmj23wbWf;[];other
4IVAbR2w4JJNJDDRFP3E83;[];other
4V30Q8ACPdJCcAmAYibfrH;[];other
00JAfwtx5gNiiqyor88Dr5;[];other
0K4Pj79XGQRXv1ESJADlMX;['jazz'];jazz
0AJltdSFgxM1li4ad74mIJ;['midwest emo', 'math rock', 'emo'];rock
73MDShZzdL4vUGMkmXOG6X;[];other
7L9i7U3GAu8NDpxvuAjb8Y;[];other
61NKNrhSMTYg2q0f3vS46e;['french pop', 'chanson', 'variété française', 'french house'];electro
2KlDlqEMf0YyYW8rBKUx6W;['french pop', 'french house'];electro
5xS8cfsAaFyy188dNJGDbM;['colombian pop'];pop
65dGLGjkw3UbddUg2GKQoZ;[];other
4us4NMG5wuqdUZvthZrj0Q;[];other
49xQzRRO1vI3fmCdbPTwBB;[];other
3d93jQ6vfQHLJSMbjr7o6M;['power pop'];rock
0EJdA6JT738oZGopzk8Usg;['french pop', 'french house'];electro
35fcckhFq2cF2u7hIG0fPv;['boom bap'];other
04UrujFn9VOscInw9kwHH8;['underground hip hop', 'hardcore hip hop', 'east coast hip hop'];hip_hop_rnb_soul_afro
0IqC2A5HTnTIKzqcFXJQms;['shoegaze', 'slowcore', 'dream pop'];rock
21WONmlGjC0BUY7OycaNvb;[];other
5vjIHa1u3TnOlDvVDR9qQa;['slowcore', 'shoegaze'];rock
4lZnkaz9aOPIE9gdDCztBZ;[];other
4GoD5FJCgC0lbzde7ly44M;[];other
151BUVKmiB9rHDjIkgbeVE;['underground hip hop', 'boom bap'];hip_hop_rnb_soul_afro
0giUOGLTAaVVbdr7aSwM0N;['boom bap', 'underground hip hop', 'hardcore hip hop'];hip_hop_rnb_soul_afro
4gzpq5DPGxSnKTe4SA8HAU;[];other
3ZpEKRjHaHANcpk10u6Ntq;['afrobeats', 'afrobeat', 'afropop', 'afro soul'];hip_hop_rnb_soul_afro
4coMsvF8UAoIjOnNCz6Es2;[];other
1dwirHaSjsKJUYDHgvl2op;['shoegaze'];rock
1Wxx3yxd6gZsNiAF1OwLk0;[];other
6XePd0EqV9enJtOlKcb6o6;[];other
7ELgaDINZw50qnlbK7iPhG;['hardcore punk', 'hardcore', 'grindcore'];rock
5RNFFojXkPRmlJZIwXeKQC;['glam rock'];rock
7rZNSLWMjTbwdLNskFbzFf;[];other
3t58jfUhoMLYVO14XaUFLA;['jazz fusion', 'jazz'];jazz
1TkiNxDsrc0PgIWBrATCbe;['shoegaze'];rock
5dyPWLr4wOvR1d6tSSVgrv;['deathstep', 'screamo'];rock
5g6MeOHOenBIm8tyVjRfwQ;[];other
0u6DHFbAF5yCLQ6KXJTEib;[];other
1culxorWJ7asjQIHf9RSzs;[];other
0KRqdhJSmE5uVSJ2SyDpRZ;['drum and bass', 'jungle', 'breakbeat'];electro
38ZoSddjoRbcCcEXyqdWIj;[];other
3UEuTog3sQ7Dt3mTv0bsEo;['sludge metal'];metal
7IrBqZo6diq3hV3GpUhrs2;[];other
4aEnNH9PuU1HF3TsZTru54;['indietronica', 'idm'];rock
4rdJkXHNrMgowlwUdQAg8T;['electropop'];electro
0TTADMS1RLOmf7qACoMewD;[];other
7KeN0XX71T4fGysIYLB5J5;[];other
33yje3hgpNfdXpqdJQcrt9;[];other
6hW33nVHPElaXuG2hQ0QOp;['hardcore punk', 'hardcore'];rock
2RqrWplViWHSGLzlhmDcbt;[];other
1Zoaf3n6LhFuN5Ir3Ab4yM;[];other
14hI6ZlrKB6X81Y046P2MW;[];other
0VRj0yCOv2FXJNP47XQnx5;[];other
00FQb4jTyendYWaN8pK0wa;[];other
1xU878Z1QtBldR7ru9owdU;['indie'];rock
5aMPRdW6S0lzdsJgwdcggq;['midwest emo'];rock
34YDJw1qH194wPOUrfc4hZ;[];other
4SpbR6yFEvexJuaBpgAU5p;['k-pop'];pop
78rUTD7y6Cy67W1RVzYs7t;['bedroom pop'];pop
0kDgxQlVYVecF6MCNWJTYE;[];other
6lirZ0ouvh4l3fz3HSnIwi;[];other
7Hjbimq43OgxaBRpFXic4x;[];other
14hFXWA8giW96HpYkTxywX;[];other
1H78Q8wCK3PAvs1G3ocexx;[];other
7auVoAwdrloWdyKULVOauu;['alternative hip hop'];hip_hop_rnb_soul_afro
4LEiUm1SRbFMgfqnQTwUbQ;['indie folk'];folk_acoustic
5jh7sgXW2njALiIh0aPXjB;['noise rock'];rock
4Gmrt82h2vjGjnp67SG5Nw;['post-punk'];rock
49O77SKrEk1b9sNjhI0kM4;['sludge metal'];metal
2HGAZDmVV3GAH4XFAZdvSG;['french pop'];pop
5CFSYjc0PAiQvndFjafabk;['art pop'];pop
1R84VlXnFFULOsWWV8IrCQ;['psychedelic pop'];pop
5iUnvXddCpOrbWKm7QMr6o;['idm', 'experimental hip hop'];hip_hop_rnb_soul_afro
59oA5WbbQvomJz2BuRG071;[];other
6WP8xxDLcPKNgdQWjU3BzN;['power pop', 'midwest emo'];rock
2Mvgw0Sfyepmz6lgRAooex;['neoperreo', 'jersey club'];other
29rvPhemBdOLYdLr2xI8dr;['neoperreo'];other
3c5PAcbkeFrbWUp42FaBkW;['drone', 'shoegaze', 'ambient', 'dark ambient'];rock
0aE0jIMsKSVBasU5D0e5zM;[];other
3Ut1IKlpXHBQwxklMxBsPX;['uk drill'];hip_hop_rnb_soul_afro
1nRbtbdYK51y71nVOxu332;['drill', 'jersey club'];hip_hop_rnb_soul_afro
5szilpXHcwOqnyKLqGco5j;[];other
64ATDQsFeDvIJokVA2YVke;['midwest emo', 'screamo', 'math rock'];rock
73XtH9MpvvvcUxQxYEAX15;['midwest emo', 'math rock'];rock
5IWCU0V9evBlW4gIeGY4zF;['chamber pop'];pop
0aCjVhVSBUMVwo7WRrdLiJ;['shibuya-kei'];other
79yETfINxnDl54mTKLZUlb;[];other
335TWGWGFan4vaacJzSiU8;['hyperpop'];pop
2xGbY9iFLZqd9BK0YV1aKW;[];other
39hfuTf4PHfnHgIl0QBDGL;['neoperreo', 'chilean trap', 'reggaeton chileno'];hip_hop_rnb_soul_afro
3diDUq8QMCCtx8a4Jy42aO;['bedroom pop'];pop
0BXnfQpsxFevtKePq6eX4y;[];other
1peoXq0RPx7czVoFjloeDQ;['experimental hip hop', 'alternative hip hop'];hip_hop_rnb_soul_afro
4fpwOzxFRMVGfd197dKIdY;['boom bap', 'alternative hip hop', 'experimental hip hop', 'jazz rap'];hip_hop_rnb_soul_afro
1VuBGdfqq86BQyiDactQAC;['boom bap'];other
4ZAk3yVJdtf1CFnTiG08U3;[];other
3QTDHixorJelOLxoxcjqGx;['alternative r&b', 'neo soul'];hip_hop_rnb_soul_afro
3jK9MiCrA42lLAdMGUZpwa;[];other
3CiuXDKttPUT0tWGHicFUH;[];other
5EF4drUzQkdBnQSDZfAZZ4;[];other
39ZHUueufhIdbW4yu9uODG;[];other
2Y8G3abt5hRU7X9RNi7dlZ;[];other
7axZFTseO96HmG1u4ABDAI;[];other
5jy9tglmQRLmTmcqz2qyUa;[];other
5A7T1LAGJg5NXySBoIKUmF;['rage rap', 'underground hip hop'];hip_hop_rnb_soul_afro
4q3ewBCX7sLwd24euuV69X;['reggaeton', 'trap latino', 'urbano latino', 'latin'];hip_hop_rnb_soul_afro
3ztRX1UoIOsFqpD7dB6R8O;[];other
0HRGx78eQaMqoHoopLfi2h;[];other
4VnDOpK4rdMBMihlIt6Uxr;[];other
16QCJENzcdhwka9bTKYMVB;['melodic hardcore', 'post-hardcore', 'screamo', 'hardcore', 'emocore', 'midwest emo'];rock
7dYpljfleToKnSmBFqjqkd;[];other
3qOGTt4eTeEkCn3efhAGu2;['neoperreo', 'uk funky'];other
1nIJEqPyIj5qutlgWNmQB0;['alternative r&b'];hip_hop_rnb_soul_afro
6U1lmwvy3I9dIYu9RalJi6;['slowcore', 'shoegaze'];rock
3l0CmX0FuQjFxr8SK7Vqag;['bedroom pop'];pop
53by9P3tpXOW1diWCI6MNu;['psychedelic rock', 'garage rock'];rock
2rLGlNI6htigNxx172qxLu;['hyperpop', 'shoegaze'];rock
4VivsO1n4n2Mi2Btyb5gfL;[];other
1b1pwTnc2DJVXGy8pniShT;['midwest emo', 'math rock', 'emo'];rock
5LhTec3c7dcqBvpLRWbMcf;['experimental hip hop', 'alternative hip hop', 'jazz rap'];hip_hop_rnb_soul_afro
6DJEUXZm0e2rAohdoZ5Voo;['east coast hip hop'];hip_hop_rnb_soul_afro
20dRvQDfCTLJU0pgq13ZYp;['boom bap', 'underground hip hop', 'experimental hip hop'];hip_hop_rnb_soul_afro
4uG8VYp1GLQpZVokfG2Ui7;[];other
0IVapwlnM3dEOiMsHXsghT;['idm'];other
0ygIgsjUzKivFgxgjQ9iV9;[];other
7fKO99ryLDo8VocdtVvwZW;['afrobeats', 'afrobeat', 'azonto', 'afropop', 'bongo flava'];hip_hop_rnb_soul_afro
3nwYsifpwrKmCIpw4i0HDW;['dancehall', 'soca', 'riddim', 'ragga', 'reggae'];hip_hop_rnb_soul_afro
1Kg4nxeTD9wP3082jp1nkH;['gengetone', 'bongo flava'];other
31kZNy2FQoUD4V8LUr9exv;['power pop'];rock
4svpOyfmQKuWpHLjgy4cdK;['post-rock', 'drone'];rock
2ZcNubl5ligYVy7MCs2JJ9;[];other
7DNWAdCPicuaw9vhjudRlS;[];other
0VcpOwnjkQaqDeEiVa9cu5;[];other
2Au9zIICTEr0oeV1iQrJ6X;['miami bass', 'jersey club'];electro
04JuXvm8MDLVe845QWe137;['arabic rap', 'egyptian hip hop'];hip_hop_rnb_soul_afro
6cpzd2aRLmkE06P4lFFMlj;[];other
75klPfIVnyYcyEGaicRUSF;['garage rock'];rock
6RRpZz1uPqY9E28kmSPAhw;['metalcore', 'post-hardcore', 'deathcore', 'screamo', 'djent'];metal
27qVZWcFcgOFp4pbsA7Pvd;[];other
3tM7dj8ztmzKcugbIVMxy0;[];other
5eitAUlYmlha3LLWg7aBn5;[];other
79YjWaAoD88XGLETIsnnQV;['latin indie'];rock
6fxyWrfmjcbj5d12gXeiNV;['punk rap'];hip_hop_rnb_soul_afro
3BAgmPNIK5IJl7zMK1wvMA;[];other
27nD8P491xX8UzG3j01eIY;['post-punk'];rock
5he5w2lnU9x7JFhnwcekXX;['dubstep', 'edm', 'electro', 'electronic'];hip_hop_rnb_soul_afro
7vvicoei9BbKpZix8qSeLg;['uk garage', 'bassline', 'dubstep', 'bass music'];hip_hop_rnb_soul_afro
3ou3XMRNmyDSy6gnC1bSgN;['neoperreo', 'argentine trap'];hip_hop_rnb_soul_afro
2E1NFr5AeEGUJkLUUsWCAO;['tech house'];electro
5VYRcaryFLFZnA5HvnRHFi;[];other
63XBtGSEZINSyXylZxEUbv;['alternative r&b'];hip_hop_rnb_soul_afro
