track_id;popularity;track_name;duration
0Q2KybhXEtsbcFaOcZnd66;6;Book 1;100108
5D3BtuQeL2qBgORJpdosSR;10;Turned on to you - 7'' Version;275000
0VaeksJaXy5R1nvcTMh3Xk;80;Darling, I (feat. Teezo Touchdown);253834
2zx3s7ldX0gQa1Z0lGWmb7;8;Wish Defense;245800
3m10td2UJ3mydhpGliRGMx;24;Skinny Jeans & Gucci Belts;137647
0tll4NgEmf4ySmkYznWr7M;4;Champaign Ill;209920
6HDAOBavN7nhIDWgJJSAeP;26;CVS on a Walk;258596
7EIfvKRhACFzNN9kblYCZ6;4;Humorist;258450
3eyGrobMcziIWlHEZwatHd;40;Rien de sensationnel;167491
4S1nRVnWtB7cTPGR1Q07ql;38;Givenchy;84971
6M1IuZ15hoH1y7o8Q85541;36;choke enough;240094
3w4QFcf8z9Xyr3PJTDcY4s;51;UN MEILLEUR NOUS;179663
7JO6qzrdKcydC5rPHhbeXH;29;L'hiver sur tes lèvres;222776
4gE1HeO2U1UmnnF6angfva;42;Contre-cœur;201905
0nj9Bq5sHDiTxSHunhgkFb;87;squabble up;157992
1OUhsoiwr4ecuN9CU9bOJz;59;Chanel;90863
2mawheCRpyRa0fSg5EgFde;17;Polaroid;227451
0CeYPT3xRjwAoQtGtvD8i3;50;Heart Emoji;160985
2JekaBnRtjGOjyHWVBNbcZ;33;Take Me;161549
1UHS8Rf6h5Ar3CDWRd3wjF;89;Bed Chem;171869
20Its0iJ6nvKoKw3cY4ydD;63;DE MARAVISHA;203801
6gH1UKDAhWS6qXzKXB4wuY;72;Hello Miss Johnson;164747
7ETwhrhte93aCARr2y8crj;13;masquerade;168973
1qY079hdOz36cemGe6Q0oj;2;Tabby Cat;329222
23zly3Ch06A1BIo2g7wTd2;28;Bad Shit;123739
5Ryyh301NTp03Ays0ovWbS;35;CALYPSO;98133
6s1O3pFjN8aDUnooppKDmP;71;Shake Dat Ass (Twerk Song) (feat. GloRilla);229745
6If6vrgZ9Ap4tR3C5RzDmj;32;FLAG;276681
3VVddUsXWLhortUvZLnf0j;23;WHOUWITHHO+;193655
5K8BxVTTf8TYWWA8roPuSq;58;W1LL U L13?;139399
2VWVM1DrUhAAXfqAz524JU;29;Ponytail;243000
39D5yqXOXYFjpctgbxJuHe;0;PillowFight;102890
5ciJ9HpHpBiSVYvlPtsTlS;29;Soft Spot - 955 remix;250248
4UXuylq8uUBOIjGCnXba5y;25;Jump;134482
2MDqwQHCP4wELHzWn9DntV;25;Chopstick;161373
4QdrntAYyH7fOm41BjgxmU;38;A Choice To Survive;245932
3WLR35YgOztXURTTfzgSQL;41;Vibes;154240
2qYbtIf8dRkBkKIcZVGFDq;71;Drive;185132
3l2asA2bO5lrwuiWneZbh0;51;Where'd It Go Wrong?;251294
4K4DZUvJQSiSOchQdZlP7K;57;see through (remix) [feat. Coco Jones, Absolutely & Samara Cyn];239522
4biivZcnoeiB6vzmdOL6Bg;35;All Of Me;165038
0FS9uLNz2FbJY2TRBaPr4r;12;DID SANTA COME;225721
2gtg4jTNUqC4akFqWZZXcV;68;Bundle By Bundle;176000
0rMUIEJIdeo9I3hPLSHWJS;62;Merry Go Round;165842
1H3BKRHPHblRSbEm5HSPfU;56;RIO FREE;200393
1xLLP5pWq1XELc9PSMteGM;27;\ LUCY!!!!!! /;200464
4t4yg2KLRIJtM4dzU277LW;41;Vendredi;194767
22W7cxdI8GqHLZflKp0HQp;7;Body Moves;207722
4aP39ZfU094VjJf8UEMcnW;35;Rain;182000
645wlermtuLxjX51odM8HY;42;Evangelion;129832
3zIqekohxiaS4HF79pxHzt;57;Hello, Hi;135996
6zTuzIwC6fLeDm35FFMJVv;8;start all over;205511
1mW9XrT9XdnsDPuthSgusZ;46;JRJRJR;268803
76LZ3g7Kc8o9g2qh8fYPvv;34;This Time Around;231800
1SqdwayfShRMtXk5YcVPiP;22;Death Spells;286315
2Lw2oix2hvPOMwgyDObq66;48;Party People;194475
