artist_id,artist_genres
7MxGWmiAbqjNOGmj23wbWf,uk contemporary r&b
4IVAbR2w4JJNJDDRFP3E83,trap
4V30Q8ACPdJCcAmAYibfrH,indie pop
00JAfwtx5gNiiqyor88Dr5,pakistani indie
0K4Pj79XGQRXv1ESJADlMX,contemporary jazz
0AJltdSFgxM1li4ad74mIJ,midwest emo
73MDShZzdL4vUGMkmXOG6X,small room
61NKNrhSMTYg2q0f3vS46e,nouvelle chanson francaise
2KlDlqEMf0YyYW8rBKUx6W,french psychedelic
5xS8cfsAaFyy188dNJGDbM,colombian pop
65dGLGjkw3UbddUg2GKQoZ,indie soul
4us4NMG5wuqdUZvthZrj0Q,modern melodic hardcore
49xQzRRO1vI3fmCdbPTwBB,riot grrrl
3d93jQ6vfQHLJSMbjr7o6M,dc indie
0EJdA6JT738oZGopzk8Usg,nouvelle chanson francaise
35fcckhFq2cF2u7hIG0fPv,upstate ny rap
04UrujFn9VOscInw9kwHH8,flick hop
0IqC2A5HTnTIKzqcFXJQms,american shoegaze
5vjIHa1u3TnOlDvVDR9qQa,nu gaze
4GoD5FJCgC0lbzde7ly44M,modern alternative pop
151BUVKmiB9rHDjIkgbeVE,instrumental hip hop
0giUOGLTAaVVbdr7aSwM0N,drumless hip hop
4gzpq5DPGxSnKTe4SA8HAU,pop
3ZpEKRjHaHANcpk10u6Ntq,afrobeats
1dwirHaSjsKJUYDHgvl2op,nyc indie rock
1Wxx3yxd6gZsNiAF1OwLk0,swedish house
7ELgaDINZw50qnlbK7iPhG,modern hardcore
5RNFFojXkPRmlJZIwXeKQC,sophisti-pop
7rZNSLWMjTbwdLNskFbzFf,talent show
3t58jfUhoMLYVO14XaUFLA,jazz guitar
1TkiNxDsrc0PgIWBrATCbe,zoomergaze
4P0dddbxPil35MNN9G2MEX,west coast rap
03mz3G1gu1GPNgAWY4qR2w,djent
0KRqdhJSmE5uVSJ2SyDpRZ,neurofunk
4aEnNH9PuU1HF3TsZTru54,trip hop
4rdJkXHNrMgowlwUdQAg8T,pop electronico
7KeN0XX71T4fGysIYLB5J5,pov: indie
33yje3hgpNfdXpqdJQcrt9,riot grrrl
6hW33nVHPElaXuG2hQ0QOp,modern hardcore
2RqrWplViWHSGLzlhmDcbt,experimental house
0VRj0yCOv2FXJNP47XQnx5,trap
00FQb4jTyendYWaN8pK0wa,pop
1xU878Z1QtBldR7ru9owdU,shimmer pop
5aMPRdW6S0lzdsJgwdcggq,midwest emo
4SpbR6yFEvexJuaBpgAU5p,k-pop girl group
78rUTD7y6Cy67W1RVzYs7t,bedroom pop
0kDgxQlVYVecF6MCNWJTYE,underground hip hop
6lirZ0ouvh4l3fz3HSnIwi,indie hip hop
7Hjbimq43OgxaBRpFXic4x,chicago rap
7auVoAwdrloWdyKULVOauu,jazz rap
4LEiUm1SRbFMgfqnQTwUbQ,modern rock
5jh7sgXW2njALiIh0aPXjB,noise punk
4Gmrt82h2vjGjnp67SG5Nw,uk post-punk revival
2HGAZDmVV3GAH4XFAZdvSG,french psychedelic
5CFSYjc0PAiQvndFjafabk,uk experimental electronic
1R84VlXnFFULOsWWV8IrCQ,noise pop
5iUnvXddCpOrbWKm7QMr6o,experimental hip hop
59oA5WbbQvomJz2BuRG071,uk contemporary r&b
2Mvgw0Sfyepmz6lgRAooex,latin tek
29rvPhemBdOLYdLr2xI8dr,neoperreo
3c5PAcbkeFrbWUp42FaBkW,drone
0aE0jIMsKSVBasU5D0e5zM,nyc indie rock
1nRbtbdYK51y71nVOxu332,pop urbaine
5szilpXHcwOqnyKLqGco5j,indie pop
64ATDQsFeDvIJokVA2YVke,lo-fi indie
73XtH9MpvvvcUxQxYEAX15,5th wave emo
5IWCU0V9evBlW4gIeGY4zF,indie rock
0aCjVhVSBUMVwo7WRrdLiJ,experimental indie
79yETfINxnDl54mTKLZUlb,nu gaze
335TWGWGFan4vaacJzSiU8,proto-hyperpop
39hfuTf4PHfnHgIl0QBDGL,rap chileno
3diDUq8QMCCtx8a4Jy42aO,bedroom pop
1peoXq0RPx7czVoFjloeDQ,indie hip hop
4fpwOzxFRMVGfd197dKIdY,drumless hip hop
1VuBGdfqq86BQyiDactQAC,boom bap
4ZAk3yVJdtf1CFnTiG08U3,toronto indie
3QTDHixorJelOLxoxcjqGx,la pop
3jK9MiCrA42lLAdMGUZpwa,neo soul
3CiuXDKttPUT0tWGHicFUH,chill r&b
39ZHUueufhIdbW4yu9uODG,metropopolis
2Y8G3abt5hRU7X9RNi7dlZ,small room
5jy9tglmQRLmTmcqz2qyUa,gen z singer-songwriter
5A7T1LAGJg5NXySBoIKUmF,rage rap
4q3ewBCX7sLwd24euuV69X,urbano latino
3ztRX1UoIOsFqpD7dB6R8O,bubblegrunge
0HRGx78eQaMqoHoopLfi2h,atl drill
16QCJENzcdhwka9bTKYMVB,post-hardcore
7dYpljfleToKnSmBFqjqkd,crank wave
3qOGTt4eTeEkCn3efhAGu2,miami electronic
1nIJEqPyIj5qutlgWNmQB0,scandinavian r&b
6U1lmwvy3I9dIYu9RalJi6,small room
3l0CmX0FuQjFxr8SK7Vqag,pov: indie
53by9P3tpXOW1diWCI6MNu,neo-psychedelic
2rLGlNI6htigNxx172qxLu,hyperpop
4VivsO1n4n2Mi2Btyb5gfL,indie soul
1b1pwTnc2DJVXGy8pniShT,small room
5LhTec3c7dcqBvpLRWbMcf,psychedelic hip hop
6DJEUXZm0e2rAohdoZ5Voo,east coast hip hop
20dRvQDfCTLJU0pgq13ZYp,boom bap
0IVapwlnM3dEOiMsHXsghT,wonky
0ygIgsjUzKivFgxgjQ9iV9,wonky
7fKO99ryLDo8VocdtVvwZW,nigerian pop
3nwYsifpwrKmCIpw4i0HDW,traphall
1Kg4nxeTD9wP3082jp1nkH,gengetone
31kZNy2FQoUD4V8LUr9exv,toronto indie
4svpOyfmQKuWpHLjgy4cdK,post-rock
2Au9zIICTEr0oeV1iQrJ6X,ghettotech
6cpzd2aRLmkE06P4lFFMlj,bay area indie
75klPfIVnyYcyEGaicRUSF,modern power pop
6RRpZz1uPqY9E28kmSPAhw,metalcore
3tM7dj8ztmzKcugbIVMxy0,hypnagogic pop
5eitAUlYmlha3LLWg7aBn5,spectra
79YjWaAoD88XGLETIsnnQV,pop electronico
6fxyWrfmjcbj5d12gXeiNV,underground hip hop
3BAgmPNIK5IJl7zMK1wvMA,texas latin rap
27nD8P491xX8UzG3j01eIY,irish post-punk
5he5w2lnU9x7JFhnwcekXX,pop dance
7vvicoei9BbKpZix8qSeLg,bassline
3ou3XMRNmyDSy6gnC1bSgN,trap argentino
2E1NFr5AeEGUJkLUUsWCAO,tech house
63XBtGSEZINSyXylZxEUbv,r&b
6q3p11nP1p80Ey6LrOOSed,drumless hip hop
0eVyjRhzZKke2KFYTcDkeu,west coast rap
5lofelrRCFBwzTF616hSx4,multidisciplinary
2WcCoPxAWFNSCvsFPrpf30,vancouver punk
21UPYSRWFKwtqvSAnFnSvS,ghanaian pop
27WVFBOddxovimxMmBN4fb,indie r&b
716NhGYqD1jl2wI1Qkgq36,urbano latino
4u2LxHDBsFDH3J9NumXSCH,small room
41gxyJbzbAaChEyrZ9j3rv,montreal indie
1AHswQqsDNmu1xaE8KpBne,pink noise
0zo109NM3S7CqHpvlXwqEN,raw techno
4m7q9onIm2bqhwHy9utqmw,ghettotech
1vxsourLLLfobrxyWAcuQH,french psychedelic
2sflbTtCirog5VxD6jPAfb,viral rap
42yf4QkiE9a252krn9OUCb,trap
