artist_id,total_follower,artist_popularity
3Lk9AWrpD4bminO5LwmBOw,152945,43
3rf7cB2o79L2LEcl9HIjAf,27952,38
0bhck1r45kgsoMNBVqIziz,51887,40
4oLeXFyACqeem2VImYeBFe,1847481,76
3IunaFjvNKj98JW89JYv9u,751901,60
6M98IZJK2tx6x2YVyHua9K,1227,39
33YsWRCg88zGFdA0xjxeLO,50591,51
687cZJR45JO7jhk1LHIbgq,2822506,75
6VR4TJ20WGiho2xZWMuuWb,53154,50
4ZbFpxbORhzU78ve8e62Ej,19946,29
1jwOuEBcOKq0BeudSarbEM,76645,38
7ljTofQBh5fR5SYfGHRYs8,8029,30
7fgs0Ym1ukMZDgKjx8mbMe,2639,24
7xTo7ipdBZezIoyAkmcRge,66479,35
27JCep1zDO3K8GY50trDo6,19397,32
5rv6OYiDFLm0gQ8wbihOib,57656,41
422Vo1v0NaW7ZVU8EwvhKW,71303,49
6v6OE9MQreCmwuAqF0NfzQ,13838,34
13GH7wviJQ9gfZmr1pXHS4,135536,48
7AgbNZPRrvTpWjVbbPoUmU,76300,43
7d0wUlQ0ZXIGFa0YzuBiR6,82417,46
3TJZG17pjOKXwx1ELKJPfm,456078,62
6P86FLVAK4sxu8OhyQJBvH,69527,39
380fnmlGnkyueBMqGWx2k5,108020,44
6wmTznuYHk73RoBXkYEBnV,780,10
4yRSUmhuSJ3KcIMljdh4fH,81604,44
3OyC0tKaejLvZHB4s78zED,54259,45
2lciIw4vq0jQqevXA2TEUl,33250,31
75JMPNQ1B2A6WZydvs06Ok,4276,38
7MxGWmiAbqjNOGmj23wbWf,65513,54
4IVAbR2w4JJNJDDRFP3E83,4785870,71
4V30Q8ACPdJCcAmAYibfrH,73078,46
00JAfwtx5gNiiqyor88Dr5,219520,44
0K4Pj79XGQRXv1ESJADlMX,16001,28
0AJltdSFgxM1li4ad74mIJ,13439,26
73MDShZzdL4vUGMkmXOG6X,296376,56
7L9i7U3GAu8NDpxvuAjb8Y,1440,7
61NKNrhSMTYg2q0f3vS46e,108983,46
2KlDlqEMf0YyYW8rBKUx6W,41152,35
5xS8cfsAaFyy188dNJGDbM,302419,66
65dGLGjkw3UbddUg2GKQoZ,823909,62
4us4NMG5wuqdUZvthZrj0Q,45164,39
49xQzRRO1vI3fmCdbPTwBB,24163,30
3d93jQ6vfQHLJSMbjr7o6M,12383,25
0EJdA6JT738oZGopzk8Usg,79587,42
35fcckhFq2cF2u7hIG0fPv,51265,49
04UrujFn9VOscInw9kwHH8,3412,21
0IqC2A5HTnTIKzqcFXJQms,9106,22
21WONmlGjC0BUY7OycaNvb,229,7
5vjIHa1u3TnOlDvVDR9qQa,30291,34
4lZnkaz9aOPIE9gdDCztBZ,221,1
4GoD5FJCgC0lbzde7ly44M,299173,56
151BUVKmiB9rHDjIkgbeVE,146907,48
0giUOGLTAaVVbdr7aSwM0N,34493,37
4gzpq5DPGxSnKTe4SA8HAU,56323954,89
3ZpEKRjHaHANcpk10u6Ntq,4265189,74
4coMsvF8UAoIjOnNCz6Es2,1570,8
1dwirHaSjsKJUYDHgvl2op,6592,28
1Wxx3yxd6gZsNiAF1OwLk0,12386,28
6XePd0EqV9enJtOlKcb6o6,309,14
7ELgaDINZw50qnlbK7iPhG,8690,20
5RNFFojXkPRmlJZIwXeKQC,640908,58
7rZNSLWMjTbwdLNskFbzFf,711680,58
3t58jfUhoMLYVO14XaUFLA,383181,52
1TkiNxDsrc0PgIWBrATCbe,11862,39
5dyPWLr4wOvR1d6tSSVgrv,3113,15
5g6MeOHOenBIm8tyVjRfwQ,183,13
0u6DHFbAF5yCLQ6KXJTEib,31,13
1culxorWJ7asjQIHf9RSzs,27,13
0KRqdhJSmE5uVSJ2SyDpRZ,17255,22
38ZoSddjoRbcCcEXyqdWIj,18,13
3UEuTog3sQ7Dt3mTv0bsEo,158,13
7IrBqZo6diq3hV3GpUhrs2,33089,57
4aEnNH9PuU1HF3TsZTru54,698825,56
4rdJkXHNrMgowlwUdQAg8T,71930,48
0TTADMS1RLOmf7qACoMewD,1092,13
7KeN0XX71T4fGysIYLB5J5,523621,57
33yje3hgpNfdXpqdJQcrt9,212502,53
6hW33nVHPElaXuG2hQ0QOp,81809,44
2RqrWplViWHSGLzlhmDcbt,449858,51
1Zoaf3n6LhFuN5Ir3Ab4yM,551,12
14hI6ZlrKB6X81Y046P2MW,7680,23
0VRj0yCOv2FXJNP47XQnx5,7625332,77
00FQb4jTyendYWaN8pK0wa,44095448,89
1xU878Z1QtBldR7ru9owdU,1958611,65
5aMPRdW6S0lzdsJgwdcggq,1351,9
34YDJw1qH194wPOUrfc4hZ,446,4
4SpbR6yFEvexJuaBpgAU5p,6501167,78
78rUTD7y6Cy67W1RVzYs7t,3867040,75
0kDgxQlVYVecF6MCNWJTYE,88021,31
6lirZ0ouvh4l3fz3HSnIwi,13689,32
7Hjbimq43OgxaBRpFXic4x,788805,57
14hFXWA8giW96HpYkTxywX,3125,25
1H78Q8wCK3PAvs1G3ocexx,288,18
