artist_id,artist_genres
5e96t65iOLrmqH2gzEXhIt,ambient
4juvzVAyR0hOSQ7YfVMijK,metalcore
5qtupxXggsBwX1JEojKdhw,stoner metal
7mhv3pjuY4JRkMKuUK9mPh,lo-fi house
3IXtskFMls8KXRipcIJT9y,pop punk
2tl280wIokrLjabzrSKTgU,melodic hardcore
0Sd7X8SxWV0AyDLbvd4uEu,space rock
7rlAAAiWScpsT1hmgURAmh,baroque pop
4fpwOzxFRMVGfd197dKIdY,jazz rap
22ojy4H4ZVpowC4lRRC8In,art pop
3qqkHeEhezlIaNj1vFYH2r,bedroom pop
1nivFfWu6oXBFDNyVfFU5x,red dirt
7LjXznzJeKuvjRbNcBWd6Z,dark r&b
6kdAf6E0EouXKBpBZN1Sx9,power pop
7zQ4NNGWgCVWU80Rg6dXOH,east coast hip hop
0jPHHnU8GUWEF7rwPE9osY,sexy drill
2KnhnL8zuqLhIhGk601fsb,uk r&b
74om4qLxb9MIsubhtvxQQJ,math rock
2ueoLVCXQ948OfhVvAy3Nn,art pop
5y0k3g7BB1ylNsnj2NarGx,doom metal
5BwsX8bXOFC1YnqSlyfOKM,underground hip hop
3TOqt5oJwL9BE2NG9MEwDa,rock
3Ut1IKlpXHBQwxklMxBsPX,uk drill
2FDvUb4YgyUPpmnm1ILPra,lo-fi indie
4mbDr0mZy5UdZj9j3Ylf6F,queercore
6RHTUrRF63xao58xh9FXYJ,k-pop
5J0ehnVK9YOBGWOwE022ar,shoegaze
6F4yXjmhQBqo6HVr6K234k,k-pop
7mZgBMpvaBziYQfc9TbJH5,blues rock
6nB0iY1cjSY1KyhYyuIIKH,alternative r&b
2pHkxVNynHBwQHhGaoBIXX,k-pop
19tUwWHnSVp9UdgKveCtzJ,power pop
4TNu2ZIE566yKwEhOT8eTv,hyperpop
6n0kOGtOYnKCIG2BgksHaE,underground hip hop
5ZAazx2uLTDCHQjsg3dw96,boom bap
3M3wTTCDwicRubwMyHyEDy,hyperpop
4wMQTWavQZgr8ySlo5s2Tt,neoperreo
0FNfiTQCR5o3ounOlWzm1d,experimental hip hop
2WoVwexZuODvclzULjPQtm,indie soul
4GyAROzBnWHCBr638r5TVP,emo
2p1fiYHYiXz9qi0JJyxBzN,uk grime
33L1klom7IXmoAP8fjrGm9,hyperpop
1ONhS8pN5UbzqoZlLF69kI,hyperpop
7CvTknweLr9feJtRGrpDBy,reggaeton chileno
6PsuUa5ijopH2T8rVzHSZc,experimental
0nCnrZSTvBk1PZCtGioMRq,experimental
3oLTaC5QBOH96VbxMAafpZ,post-punk
57LYzLEk2LcFghVwuWbcuS,r&b
5VAErlnVRxRQk8ZvZt6i7e,americana
1siDtHIKhnkrABgaicXLr5,jersey club
4N2I7VsF86h59tbsvVoB1h,visual kei
1jucBaHU995Lf7ViACscFu,spoken word
17lzZA2AlOHwCwFALHttmp,rap
72NhFAGG5Pt91VbheJeEPG,electroclash
12zbUHbPHL5DGuJtiUfsip,ambient folk
3lrDYjsghBMfUTiLziD9q9,art pop
1odn2oz1bEsGWugQ8W3zhn,spoken word
1SRVawVdGv7lue3kE6Ajl9,french indie pop
7o6cOczXTB8ioTAAJTbESf,metalcore
6eforqOxk5mRrgprF7XtYu,french house
0XFSKdTpzCOOfTPwIdByqf,grindcore
3NTbOmzlj2cL86XFuDVFvZ,j-pop
1MK0sGeyTNkbefYGj673e9,metal
3l0CmX0FuQjFxr8SK7Vqag,bedroom pop
3S0tlB4fE7ChxI2pWz8Xip,uk grime
2dE5audbkV3o5cKxvM7lBD,djent
250b0Wlc5Vk0CoUsaCY84M,k-pop
698NcCj3gdla5i3RrYYgFh,hardcore
3k1tPUpSlWppOSbIV1ivQy,mathcore
71t8oi0TjZ9Op6JRrVqaBx,melodic hardcore
6pmR08TKSTs8rll6W99VnK,slowcore
38vNZvHEjUU9XlzlV43H9T,shoegaze
0nSqvdQSOrHHliAxtRrz7N,indie r&b
3D3G4JAVp6JQVEKjUaaSxA,stoner metal
4XpPveeg7RuYS3CgLo75t9,post-rock
1SncSgYiDk2kCBBaXIYcwd,chicago drill
2knguAkuatcKmqXZkBxaLs,queercore
3eimPofmo9TuKJTgpM9Bcj,slowcore
1URVdcNYXigvk6Dj0fHYOM,hyperpop
4w6VhlUuzrUoJ5NbCpefXx,lo-fi house
5DegVfL32IL9s3kokWEtft,metalcore
2LakckgvXEtJlKOYP6BO11,rage rap
6C3q8wGXgz5KKWv5GqWkvV,hardcore
1BFVh82YuUOyM8XKZIRaBL,indie punk
40ZNYROS4zLfyyBSs2PGe2,red dirt
6yJ6QQ3Y5l0s0tn7b0arrO,experimental
1jiZvw42D4oquLl24x2VWV,mexican hip hop
0399oiMcmbOzzsYQDNYqxn,west coast hip hop
1Ffb6ejR6Fe5IamqA5oRUF,post-hardcore
3nOrhUtscermNwmfBQRZZv,dream pop
3oemV3hCZ3kl5u7AM1nV4K,speed metal
51CANyDEIfgYt0mwLKCpZ6,techno
6eu3TBnYM3SrkUU59SFhgp,techno
4erwZm1JybuSPTUg5Bu7nT,dub techno
10GT4yz8c6xjjnPGtGPI1l,nu disco
3nU8TSIICYDbUqRpJISTRE,french r&b
2kIs76sEGiulKeqetZq6ua,french r&b
0uj6QiPsPfK8ywLC7uwBE1,rage rap
5Wj0an60VgRckYV9zlDe1e,indie rock
4HFpzehKjow2WqU4EJ6Wy9,metal
3PP6ghmOlDl2jaKaH0avUN,post-punk
6F5n3bvrBgoyicdFT6L8IB,alternative hip hop
12b5toJQSORmgmCwYrQgLr,downtempo
1TkiNxDsrc0PgIWBrATCbe,dream pop
0b1sIQumIAsNbqAoIClSpy,k-rap
0DCw6lHkzh9t7f8Hb4Z0Sx,heavy metal
6wNPY2m52IiyyVZXR339D9,sexy drill
3J3ngZn7GjzjwCPBkqtz65,underground hip hop
5j93hwFBNo29RJMsWvtzj8,alternative hip hop
1AmknJ29fbA6ahZXxFCNLE,boom bap
5e9SnnT1mabuWwjwu6FrZD,pop punk
4MzJMcHQBl9SIYSjwWn8QW,metal
29rvPhemBdOLYdLr2xI8dr,neoperreo
3fbtJn9IE7xORZcvASoIba,neoperreo
1GuqTQbuixFHD6eBkFwVcb,house
2UzhploNTDxWtJkr5BE3cm,hardcore
0Kpf7PvEotzvndPhYwwZzb,baroque pop
3UJmyt9ApeZTmOlMvBNGLN,melodic death metal
1vTFaCiaR50b2IXELHW52U,bedroom pop
2xQ0QRK08xh3WWBf2RKpsm,surf rock
76NpRNEWMaNdOudixwOPRo,pop punk
7tNO3vJC9zlHy2IJOx34ga,opm
75ItOLlAwbDFJFx3PhyzTc,metalcore
4TrfxRxjCvOFprX1W2V8k1,progressive rock
6TMJgSdBIPPtQJbAB8yPpO,shoegaze
0uaJXiIMrpbOV91Z9JxOL1,bounce
0t04WLkoyjSuvhzsXIJH7E,french indie pop
5ABfpj7Z00wfPiv2uW4MFm,punk
5APEQlUaQ5K70LgPqAdTuU,dream pop
0Kt443UQm5aqR2WCwqSMe0,lo-fi indie
0giVCDcrvEldaPK8aCF1vp,black metal
6chuFWw4BmHxOc3X0cC8Ct,experimental
2StXQyMrlYk1wWVX72InuJ,noise rock
26DvqLYszG0oIOeelTF5kE,folk pop
33U9I7yBy34UXqKYObItne,bossa nova
46pWGuE3dSwY3bMMXGBvVS,afropiano
2D3csYLILmlZH3SUbkz11L,noise rock
2R0CFyeMDiRbfkhkIMbyl1,jersey club
0ShmUyGC785pMDaRdP5Sap,sexy drill
